gene,log2FoldChange,pValue,rawPValue,qValue,significant
SH3D19,-0.766259,0.0289735,0.0289735,0.507149,no
SH3D21,0.0676774,0.898713,0.898713,0.999906,no
SH3GL1,-0.294955,0.352011,0.352011,0.999906,no
SH3GL1P1,-0.502475,0.698284,0.698284,0.999906,no
SH3GL1P2,-0.572399,0.742036,0.742036,0.999906,no
SH3GL3,2.80239,0.0368368,0.0368368,0.589084,no
SH3GLB1,-0.385162,0.23137,0.23137,0.999906,no
SH3GLB2,0.0972011,0.766168,0.766168,0.999906,no
SH3KBP1,0.0103432,0.974591,0.974591,0.999906,no
SH3PXD2A,-0.168099,0.621041,0.621041,0.999906,no
SH3PXD2B,-0.673642,0.0383136,0.0383136,0.60301,no
SH3RF1,-0.102889,0.766776,0.766776,0.999906,no
SH3RF3,-0.867181,0.0136633,0.0136633,0.299727,no
SH3YL1,0.388297,0.392143,0.392143,0.999906,no
SHANK1,0.397281,0.498892,0.498892,0.999906,no
SHANK2,0.0980575,0.837781,0.837781,0.999906,no
SHANK3,0.458085,0.474484,0.474484,0.999906,no
SHARPIN,-0.108796,0.759326,0.759326,0.999906,no
SHB,0.936041,0.0140616,0.0140616,0.305982,no
SHBG,-0.116653,0.991872,0.991872,0.999906,no
SHC1,-0.0176341,0.961387,0.961387,0.999906,no
SHC2,0.133078,0.748788,0.748788,0.999906,no
SHC3,-0.772683,0.0164842,0.0164842,0.339559,no
SHCBP1,0.336508,0.634112,0.634112,0.999906,no
SHF,0.273399,0.644669,0.644669,0.999906,no
SHFM1,-0.140882,0.674162,0.674162,0.999906,no
SHISA3,0.755681,0.355418,0.355418,0.999906,no
SHISA4,-0.310199,0.389826,0.389826,0.999906,no
SHISA5,-0.154639,0.619288,0.619288,0.999906,no
SHKBP1,-0.234414,0.466204,0.466204,0.999906,no
SHMT1,-0.961541,0.324513,0.324513,0.999906,no
SHMT2,0.681759,0.0592262,0.0592262,0.790834,no
SHOC2,-0.21829,0.493222,0.493222,0.999906,no
SHOX2,0.18152,0.750841,0.750841,0.999906,no
SHPK,-0.269732,0.562041,0.562041,0.999906,no
SHPRH,0.281405,0.651161,0.651161,0.999906,no
SHQ1,0.303907,0.439581,0.439581,0.999906,no
SHROOM1,0.0391884,0.936728,0.936728,0.999906,no
SHROOM2,-1.28222,0.0610742,0.0610742,0.804382,no
SHROOM3,-0.572229,0.0832211,0.0832211,0.94106,no
SIAE,-0.00501924,0.990942,0.990942,0.999906,no
SIAH1,0.247737,0.757206,0.757206,0.999906,no
SIAH2,-0.201967,0.582171,0.582171,0.999906,no
SIDT2,-0.796546,0.604472,0.604472,0.999906,no
SIGIRR,-0.368237,0.496799,0.496799,0.999906,no
SIGMAR1,-0.0774446,0.815994,0.815994,0.999906,no
SIK1,-0.271554,0.713879,0.713879,0.999906,no
SIK2,-0.311347,0.388438,0.388438,0.999906,no
SIK3,-0.0953072,0.763587,0.763587,0.999906,no
SIKE1,0.0979192,0.777145,0.777145,0.999906,no
SIL1,0.15217,0.634574,0.634574,0.999906,no
SIN3B,0.0979057,0.757179,0.757179,0.999906,no
SIPA1,-0.577408,0.10421,0.10421,0.999906,no
SIPA1L1,0.473368,0.131888,0.131888,0.999906,no
SIPA1L2,2.66793,3.46217e-05,3.46217e-05,0.00324891,yes
SIPA1L3,0.191089,0.646209,0.646209,0.999906,no
SIRPA,-0.255703,0.43089,0.43089,0.999906,no
SIRPB1,0.223551,0.751618,0.751618,0.999906,no
SIRT1,-0.135706,0.720895,0.720895,0.999906,no
SIRT2,0.0969872,0.786172,0.786172,0.999906,no
SIRT3,0.0760445,0.918365,0.918365,0.999906,no
SIRT4,0.687066,0.404691,0.404691,0.999906,no
SIRT5,-0.0251382,0.964922,0.964922,0.999906,no
SIRT6,-0.136848,0.773713,0.773713,0.999906,no
SIRT7,-0.306104,0.536953,0.536953,0.999906,no
SIVA1,-0.12353,0.770548,0.770548,0.999906,no
SIX1,0.243939,0.505496,0.505496,0.999906,no
SIX4,0.292454,0.404392,0.404392,0.999906,no
SIX5,0.10559,0.77211,0.77211,0.999906,no
SKA1,0.95265,0.338261,0.338261,0.999906,no
SKA2,0.321312,0.474206,0.474206,0.999906,no
SKAP2,-0.210881,0.526085,0.526085,0.999906,no
SKI,0.0550195,0.858703,0.858703,0.999906,no
SKIL,0.178833,0.625953,0.625953,0.999906,no
SKIV2L2,0.0214699,0.965158,0.965158,0.999906,no
SKP1,-0.112844,0.720856,0.720856,0.999906,no
SKP1P2,-0.128889,0.731841,0.731841,0.999906,no
